stv_id,token_symbol,token_address
0xd63e904699516c1a1bf384c29788916dcddeab63,SOL-PERP,0x0492ff9807f82856781488015ef7aa5526c0edd6
0x289454fa9dda02977b74797a06b6b24a3d97ca8d,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0x4e89e46b4f61c6878eeba1cff5626e8165d7df4d,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0x01fbe0d6d4aea063e68cc405b6149ecbbef24d7f,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0x505965a40b5a1853cbed3248903a941a532e44d2,BNB-PERP,0x9c52d5c4df5a68955ad088a781b4ab364a861e9e
0xce315da9363ead59928c2c4930b2e2dbbc016644,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0x49fe5e83e5f7432266c08e00fc59bccdf22c2ef0,SOL-PERP,0x0492ff9807f82856781488015ef7aa5526c0edd6
0x748ac426dd69693a5cbfca14513a39e3520ffc80,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0x4caa8fc67d91037cd69c98cc9c08998952a0df60,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0x2934739118d34b9c82b9db7abe1bec47dce95163,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0xe2e1e970de08655396bb8f29550ac18cae28aaf8,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0x9805d2feb2b81c4103be45c5dd16d67ba2308e04,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0xae2596a817ac8df8fc8ac3b75fb8f8a4b2def032,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0xfb623a2c153ae62d93547d338dc2f956ab2af4a2,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0xc1c2b9d95c47379f98d46b19648e074fa16624b2,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0x4787aa44cac73d3fd0d46bbbfdc8fb1209e4fe3e,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0x563cdf714637df5414fbce7288f3ad8422bdcf85,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0x45c4550321eb9eaf22ae19b23bf0e0eec80c5048,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0x82bb262bf0051c03f718a587f42d63ef9cc824a9,DOGE-PERP,0xac28ac205275d7c2d6877bea8657cebe04fd9ae9
0x9b79a28123a0a3b044ae1cd1381b35372523dd85,MKR-PERP,0x678a6c5003b56b5e9a81559e9a0df880407c796f
0x2b2ed8993bc21986797c4e96b2bf4fee17cfed5f,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0x290e7b45aa0afb778813574cec64f4cdeb32af97,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0x76e610b718efd27d657b41531d67a571646103ac,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0xf1ce2b0fbef209ed28c04073d0c1b9a65da80263,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0x19ec344d5aec174c09320975833f06239a375ee8,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0x3dc2848ad038d3bfb2fd8c29d41aff30f04742a4,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0xbb5aa8b22d8d6f927338a48427d5a1559375c8dc,BNB-PERP,0x9c52d5c4df5a68955ad088a781b4ab364a861e9e
0xfa60f2bf264629b8a77c54cd28ff0b7ec4c2dcc9,SOL-PERP,0x0492ff9807f82856781488015ef7aa5526c0edd6
0x0999abc7ea1b64c84322477ea670d3c6967b54a4,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0x8478e5027626df67c0445cdb223e82bda427b8da,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0xf2b561774dc6e85c7b077285cfa312115fe61c99,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0xea11693061386b8059ffc23b631e8a519ecf7170,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0x93d383e89da78930312747654caa2c73858933b9,DOGE-PERP,0xac28ac205275d7c2d6877bea8657cebe04fd9ae9
0x3586411932706b0f2421f2e36342ef2c82506c33,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0xcfdab66183e98c262a5bdd8fde843248fa6f0e87,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0x44e22407fefc16cb6593e6a0b3644cb2046ed10c,STX-PERP,0xfe8b7baf68952bac2c04f386223d2013c1b4c601
0xb2d3051a1fce678eaac9ff67d15fe37e4573b705,AVAX-PERP,0xa94f9e3433c92a5cd1925494811a67b1943557d9
0xb59807e10cac87204a7205fe17710299577a1ec0,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0x99716f1c4769b3a2d01e289035f3327bba7f570d,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0x9a3d49e72ad8b5ca28ef2aa6e63c8042823cf249,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0xe924a32efea2a48640982a3b7f63679abdab2da0,WLD-PERP,0x7e97da2dbbbdd7fb313cf9dc0581ac7cec999c70
0x222c97aa5d94ac85d47a2b88960f7bd80957b060,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0xd351499835a0bbc21e4e48e3aa68f75d159a2129,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0x115b87ebba383dcc0557f4dbacd6861facc77a2d,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0xeac3484b096b443efedd3ea854b471cf3d3cad18,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0xd289ba1abe5cb580e33cf6317ae93b931b753d86,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0x79b76f555b130282faec49af6507872c0ca90d5e,SOL-PERP,0x0492ff9807f82856781488015ef7aa5526c0edd6
0x4f0812a06434763aaef339a49623bd87d099dd42,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0xae975668e1bcfc1706994be55af2e4fca1227006,JTO-PERP,0xe7ed0c559d905436a867cddf07e06921d572363c
0x6b92001ac3e1081255f0d6ccfe5fa8c13b737204,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0x232d0edcd88c39d6a6c58fd6a6a0b7f98655ab2e,JUP-PERP,0x02c38368a6f53858aab5a3a8d91d73eb59edf9b9
0x12e242f8498a27bf1fc955c8e8a2afbec1d51af0,GALA-PERP,0xdc054bce222fe725da0f17abcef38253bd8bb745
0x7fd5af2ea7c7bdf5a52a547cb1f208d9e3140b1f,MPEPE-PERP,0x14b5a17208fa98843cc602b3f74e31c95ded3567
0x9f3276eef4383a0f94fbb31173aefbf1ff2c26f4,APT-PERP,0x0ac8c26d207d0c6aabb3644fea18f530c4d6fc8e
0xd97b4740321bf0fd366c35a6696e23d73b448e01,SOL-PERP,0x0492ff9807f82856781488015ef7aa5526c0edd6
0x2166259a2445732a6d06242db11ed26aecfa00cf,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0x343a44d8a767654cdde7fb5eaf556679a611dc4f,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0x9abdce00ca0dc4953a4cc898776695a4e75f0406,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0xec48ec8781ad86631d6b881ebe42eb34b9a99d8a,SOL-PERP,0x0492ff9807f82856781488015ef7aa5526c0edd6
0x49e90e1ef4fd35da77c69bb58586528faab3acc9,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0x6e14473de47cf12b74dbe619670da80ce3e30b7b,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0x54100ca33b9220687f69b440ec8a16f0a81a93af,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0x92d2d191bf44ae6aa57ed11aab1e35bd223d4ba3,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0x4c34597ccfc209c5ea390409a0fa3987c51210e8,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0xb4ee0df9821dc35f25338e7cb79c5515d425c568,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0xc9d9ebb95068392885655b4083e6c857116d1fd1,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0xec4622326d1cf8c6e1f57c3e0080d3a5595f48a5,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0xf74f3a955ffc9de3097e0ac658bc9e3a4b02a84b,INJ-PERP,0xa63de7f89ba1270b85f3dcc193ff1a1390a7c7c7
0x91ec6b18926133bb739ca933e07ab6708fad570c,SOL-PERP,0x0492ff9807f82856781488015ef7aa5526c0edd6
0x4d6dee4612da5526256dfa0f2db8bdc4ed3cac36,INJ-PERP,0xa63de7f89ba1270b85f3dcc193ff1a1390a7c7c7
0x98e86b01c25efd7563842bd38cc25f8e6c4702d4,INJ-PERP,0xa63de7f89ba1270b85f3dcc193ff1a1390a7c7c7
0x8ec53dbc05b403506b06103db49d9018924e6e3b,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0x9d17d1d0416204620d7ef979c4ef11f8553441c1,INJ-PERP,0xa63de7f89ba1270b85f3dcc193ff1a1390a7c7c7
0x8d8924be79b6bd943f432c5aa4cbffa1200b47ed,SOL-PERP,0x0492ff9807f82856781488015ef7aa5526c0edd6
0x4da028deb495bc271b0c40305ba5df86ce167e6a,SOL-PERP,0x0492ff9807f82856781488015ef7aa5526c0edd6
0xe1cdc6607f728fe4e369a656247d1484859b10a5,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0x1138eeef828bb26fdac90c9a423edf1ff9d721d8,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0x7c2866313035d3abc14642a05d036d8aa9a86fd3,INJ-PERP,0xa63de7f89ba1270b85f3dcc193ff1a1390a7c7c7
0xd6c6226adbc643bde4c138985446201610a6806e,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0x30b164871bcb259b84d9614ce9186794bd9a35dc,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0x3fa3fb910722231305c7802e7d96d801e0192694,DYDX-PERP,0x0f7afcb1612b305626cff84f84e4169ba2d0f12c
0xd66d7761aefda226fe71c9892f08a7f65f67132e,OP-PERP,0xba3f57a977f099905531f7c2f294aad7b56ed254
0x1b47f7c587a894f56ae73baed926f16d1bfa2978,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0xb6a6a0de78b7a959a5779b3c00b7f53fa3288cf4,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0x42c0f0273a6cd448b44ed8dc966a62ddd4bfb5a7,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0xe6de79a1f43df90d3f1ae3e37c06c36c3bf4e255,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0xd94f77066e991031376871d39c0a1ed49af5040b,INJ-PERP,0xa63de7f89ba1270b85f3dcc193ff1a1390a7c7c7
0xcdc11f29ff08fe4e22521595d19093aedf4a9186,TIA-PERP,0xa64e04ed4b223a71e524dc7ebb7f28e422ccfdde
0xc7328d07947758cb98916a698934761b1ae6a6b3,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0x7a42f22acf69fa4899e20b224a4621f36ca87c43,OP-PERP,0xba3f57a977f099905531f7c2f294aad7b56ed254
0x9664cee784ea764a40ca4aa2786165ffbab62f6a,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0xc0b5afe4674698a25f080f22fcb6f2b0a59b18ad,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0xa05834dd3a2c37a817dd80dc5bf71ed9e75d3038,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0xf0affe443ad31a0954d47e2d26966686f8ceaf09,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0x5ea5483c99c5ef81ae07af2f880473d5079e3665,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0x24bab16e9b23efa4a79dcb3c63dd9eae1419083a,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0x35ad093da0541dc1dc27f328e39bcf348af5b893,BNB-PERP,0x9c52d5c4df5a68955ad088a781b4ab364a861e9e
0x2b8ac05f872aa44cee6cd8f3e4b4fde46040b918,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0x053ff3c01ee7f6ca73b12697666f0187abafd440,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0xed83a94fa60f2ce1d411ecdd988b1fbadbcbdf3b,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0x6ad1e7adde19b7fa08d3f54b1b43ac79817a3a9a,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0x0d530c46a4b2f59ee5d8dbd057877cdb8ed8e7c3,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0xd9d554ee591a83619541b3dd701b35196e9d4234,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0xca9c5d27ef97444160baf802613f690ffb56b5db,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0x8c9fab911d0541001a4b0065eb6f475048da45be,INJ-PERP,0xa63de7f89ba1270b85f3dcc193ff1a1390a7c7c7
0x42c0ecc391193f0e271ea2dd75460042912a196d,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0xd1cfb5b53898ee860660bebdaa81d969a7ef532d,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0x9738ba6fd476a67c581e97a3c8708175feafd492,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0x1bd8574fdc055ef4649188677038fbbc060a9fb7,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0xfaf78d457daa254bd80fd2d30e66f44e8de40c8f,SOL-PERP,0x0492ff9807f82856781488015ef7aa5526c0edd6
0x87124d09a74c4d555512e6fc01046f4d594ca59b,WLD-PERP,0x7e97da2dbbbdd7fb313cf9dc0581ac7cec999c70
0xf1ce3f1e80a236cef5af1c282046991b03b87d99,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0x51b4a9c4e91904eb338deefd704197a475747a16,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0x10dd424837943cfb451e3eacc3c526f8e2b8ad31,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
